top - 07:16:45 up 45 min,  1 user,  load average: 0.07, 0.09, 0.10
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.9 us,  0.0 sy,  0.0 ni, 99.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    470.2 free,   1875.4 used,   1663.6 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2040.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4233 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
   4240 user      20   0 2426884  68420  54116 S   0.0   1.7   0:00.83 Web Con+
   4318 user      20   0 2426884  68544  54112 S   0.0   1.7   0:00.82 Web Con+
   4378 user      20   0    8432   5864   5096 S   0.0   0.1   0:00.00 ssh-age+
   4444 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
   4497 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4515 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4614 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4777 root      20   0       0      0      0 I   0.0   0.0   0:01.53 kworker+
   4904 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4931 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5188 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker+
   5191 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   5202 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5292 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5300 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker+
   5411 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5454 user      20   0   14500   5400   3352 R   0.0   0.1   0:00.00 top
